iter	Passed	Remaining
0	2	1715
1	4	1667
2	6	1650
3	8	1607
4	11	1598
5	13	1577
6	15	1596
7	17	1588
8	19	1580
9	22	1571
10	24	1565
11	26	1586
12	29	1583
13	31	1575
14	33	1577
15	35	1568
16	37	1561
17	39	1552
18	41	1545
19	43	1539
20	46	1541
21	48	1537
22	50	1533
23	52	1532
24	56	1571
25	60	1610
26	62	1602
27	64	1599
28	66	1596
29	69	1591
30	71	1586
31	73	1583
32	75	1577
33	77	1571
34	79	1565
35	81	1558
36	83	1551
37	86	1552
38	88	1547
39	90	1543
40	94	1563
41	98	1592
42	102	1608
43	104	1601
44	106	1595
45	108	1596
46	111	1594
47	113	1591
48	115	1588
49	118	1589
50	120	1583
51	122	1578
52	124	1573
53	126	1567
54	129	1564
55	131	1559
56	133	1554
57	135	1548
58	137	1545
59	139	1540
60	141	1535
61	144	1531
62	146	1528
63	150	1545
64	153	1553
65	156	1554
66	158	1550
67	161	1551
68	164	1554
69	167	1559
70	170	1556
71	172	1558
72	175	1561
73	178	1560
74	181	1559
75	183	1560
76	189	1585
77	193	1594
78	197	1606
79	202	1623
80	206	1635
81	211	1647
82	215	1659
83	222	1684
84	226	1692
85	232	1718
86	236	1726
87	243	1755
88	248	1764
89	252	1771
90	255	1767
91	257	1759
92	259	1751
93	261	1744
94	263	1737
95	265	1730
96	268	1724
97	270	1716
98	272	1710
99	274	1704
100	276	1698
101	279	1693
102	281	1687
103	283	1680
104	285	1674
105	287	1668
106	290	1668
107	293	1663
108	295	1657
109	297	1651
110	299	1645
111	301	1639
112	303	1633
113	305	1628
114	310	1635
115	314	1641
116	318	1643
117	322	1645
118	324	1640
119	326	1634
120	328	1629
121	330	1623
122	332	1617
123	334	1612
124	337	1607
125	339	1601
126	341	1595
127	343	1590
128	345	1587
129	347	1581
130	350	1576
131	352	1571
132	354	1566
133	356	1561
134	358	1557
135	360	1552
136	363	1547
137	365	1542
138	367	1537
139	369	1532
140	371	1527
141	373	1523
142	375	1518
143	377	1513
144	379	1509
145	381	1504
146	383	1499
147	386	1494
148	388	1490
149	390	1486
150	392	1481
151	394	1476
152	396	1472
153	398	1467
154	401	1464
155	403	1460
156	405	1455
157	407	1451
158	409	1447
159	411	1443
160	413	1439
161	415	1435
162	418	1431
163	420	1426
164	422	1422
165	424	1418
166	426	1414
167	428	1410
168	430	1406
169	433	1403
170	435	1400
171	437	1397
172	440	1394
173	442	1390
174	444	1386
175	446	1383
176	448	1379
177	450	1375
178	453	1371
179	455	1367
180	457	1364
181	459	1360
182	461	1356
183	463	1352
184	465	1349
185	467	1345
186	470	1342
187	473	1343
188	476	1341
189	478	1337
190	480	1334
191	482	1330
192	484	1326
193	487	1322
194	489	1319
195	491	1315
196	493	1312
197	495	1308
198	497	1304
199	499	1301
200	501	1297
